i_iter:500,        miou:26.32000 
i_iter:1000,        miou:26.54000 
i_iter:1500,        miou:25.88000 
i_iter:2000,        miou:27.05000 
i_iter:2500,        miou:27.09000 
i_iter:3000,        miou:27.16000 
i_iter:3500,        miou:28.00000 
i_iter:4000,        miou:28.42000 
i_iter:4500,        miou:27.50000 
i_iter:5000,        miou:28.46000 
i_iter:5500,        miou:27.87000 
i_iter:6000,        miou:27.97000 
i_iter:6500,        miou:27.47000 
i_iter:7000,        miou:28.96000 
i_iter:7500,        miou:27.85000 
i_iter:8000,        miou:27.05000 
i_iter:8500,        miou:27.76000 
i_iter:9000,        miou:29.73000 
i_iter:9500,        miou:27.85000 
i_iter:10000,        miou:28.18000 
i_iter:10500,        miou:27.87000 
i_iter:11000,        miou:28.36000 
i_iter:11500,        miou:29.53000 
i_iter:12000,        miou:29.34000 
i_iter:12500,        miou:28.93000 
i_iter:13000,        miou:29.41000 
i_iter:13500,        miou:29.96000 
i_iter:14000,        miou:29.01000 
i_iter:14500,        miou:29.15000 
i_iter:15000,        miou:29.96000 
i_iter:15500,        miou:29.04000 
i_iter:16000,        miou:30.10000 
i_iter:16500,        miou:29.72000 
i_iter:17000,        miou:28.91000 
i_iter:17500,        miou:28.61000 
i_iter:18000,        miou:29.62000 
i_iter:18500,        miou:29.67000 
i_iter:19000,        miou:30.53000 
i_iter:19500,        miou:29.61000 
i_iter:20000,        miou:29.89000 
i_iter:20500,        miou:28.91000 
i_iter:21000,        miou:30.06000 
i_iter:21500,        miou:30.18000 
i_iter:22000,        miou:30.18000 
i_iter:22500,        miou:31.37000 
i_iter:23000,        miou:30.24000 
i_iter:23500,        miou:31.88000 
i_iter:24000,        miou:31.18000 
i_iter:24500,        miou:31.32000 
i_iter:25000,        miou:30.25000 
i_iter:25500,        miou:30.58000 
i_iter:26000,        miou:30.19000 
i_iter:26500,        miou:30.76000 
i_iter:27000,        miou:30.27000 
i_iter:27500,        miou:30.88000 
i_iter:28000,        miou:31.86000 
i_iter:28500,        miou:31.54000 
i_iter:29000,        miou:31.28000 
i_iter:29500,        miou:31.33000 
i_iter:30000,        miou:31.49000 
i_iter:30500,        miou:31.46000 
i_iter:31000,        miou:30.39000 
i_iter:31500,        miou:31.23000 
i_iter:32000,        miou:31.38000 
i_iter:32500,        miou:30.78000 
i_iter:33000,        miou:30.96000 
i_iter:33500,        miou:30.66000 
i_iter:34000,        miou:31.10000 
i_iter:34500,        miou:29.90000 
i_iter:35000,        miou:31.10000 
i_iter:35500,        miou:29.66000 
i_iter:36000,        miou:30.47000 
i_iter:36500,        miou:30.75000 
i_iter:37000,        miou:31.38000 
i_iter:37500,        miou:30.49000 
i_iter:38000,        miou:30.36000 
i_iter:38500,        miou:30.07000 
i_iter:39000,        miou:31.22000 
i_iter:39500,        miou:30.65000 
i_iter:40000,        miou:32.34000 
i_iter:40500,        miou:31.10000 
i_iter:41000,        miou:31.03000 
i_iter:41500,        miou:30.00000 
