i_iter:500,        miou:26.19000 
i_iter:1000,        miou:30.22000 
i_iter:1500,        miou:31.87000 
i_iter:2000,        miou:31.50000 
i_iter:2500,        miou:32.66000 
i_iter:3000,        miou:36.15000 
i_iter:3500,        miou:35.67000 
i_iter:4000,        miou:33.83000 
i_iter:4500,        miou:37.83000 
i_iter:5000,        miou:38.91000 
i_iter:5500,        miou:43.56000 
i_iter:6000,        miou:41.94000 
i_iter:6500,        miou:41.36000 
i_iter:7000,        miou:40.45000 
i_iter:7500,        miou:40.46000 
i_iter:8000,        miou:40.81000 
i_iter:8500,        miou:43.79000 
i_iter:9000,        miou:41.44000 
i_iter:9500,        miou:44.18000 
i_iter:10000,        miou:43.77000 
i_iter:10500,        miou:44.32000 
i_iter:11000,        miou:45.11000 
i_iter:11500,        miou:41.68000 
i_iter:12000,        miou:43.30000 
i_iter:12500,        miou:42.13000 
i_iter:13000,        miou:43.31000 
i_iter:13500,        miou:44.14000 
i_iter:14000,        miou:42.89000 
i_iter:14500,        miou:44.56000 
i_iter:15000,        miou:43.28000 
i_iter:15500,        miou:43.03000 
i_iter:16000,        miou:43.74000 
i_iter:16500,        miou:42.84000 
i_iter:17000,        miou:43.07000 
i_iter:17500,        miou:45.62000 
i_iter:18000,        miou:41.05000 
i_iter:18500,        miou:42.77000 
i_iter:19000,        miou:44.32000 
i_iter:19500,        miou:41.44000 
i_iter:20000,        miou:44.55000 
